2025-03-09 22:54:51 [DEBUG] hp16c: Pushed 444, stack=[444, 0.0, 0.0, 0.0]
2025-03-09 22:58:21 [DEBUG] hp16c: Pushed 111, stack=[111, 0.0, 0.0, 0.0]
2025-03-09 22:59:26 [DEBUG] hp16c: Pushed 111, stack=[111, 0.0, 0.0, 0.0]
2025-03-09 22:59:28 [DEBUG] hp16c: Popped 111, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-09 22:59:28 [DEBUG] hp16c: Pushed 222, stack=[222, 0.0, 0.0, 0.0]
2025-03-09 23:00:48 [DEBUG] hp16c: Pushed 111, stack=[111, 0.0, 0.0, 0.0]
2025-03-09 23:00:50 [DEBUG] hp16c: Popped 111, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-09 23:00:50 [DEBUG] hp16c: Pushed 222, stack=[222, 0.0, 0.0, 0.0]
2025-03-09 23:00:57 [DEBUG] hp16c: Popped 222, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-09 23:00:57 [DEBUG] hp16c: Pushed 444, stack=[444, 0.0, 0.0, 0.0]
2025-03-09 23:00:59 [DEBUG] hp16c: Popped 444, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-09 23:00:59 [DEBUG] hp16c: Pushed 888, stack=[888, 0.0, 0.0, 0.0]
2025-03-09 23:01:26 [DEBUG] hp16c: Pushed 0, stack=[0, 0.0, 0.0, 0.0]
2025-03-09 23:01:36 [WARNING] hp16c: Raised E101: Stack Underflow - Operation requires more values in the stack.
2025-03-09 23:04:21 [DEBUG] hp16c: Pushed 12, stack=[12, 0.0, 0.0, 0.0]
2025-03-09 23:04:54 [DEBUG] hp16c: Popped 12, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-09 23:04:54 [DEBUG] hp16c: Pushed 24, stack=[24, 0.0, 0.0, 0.0]
2025-03-09 23:05:13 [DEBUG] hp16c: Popped 24, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-09 23:05:13 [DEBUG] hp16c: Pushed 48, stack=[48, 0.0, 0.0, 0.0]
2025-03-09 23:05:29 [DEBUG] hp16c: Pushed 12, stack=[12, 0.0, 0.0, 0.0]
2025-03-09 23:48:41 [DEBUG] hp16c: Pushed 0, stack=[0, 0.0, 0.0, 0.0]
2025-03-09 23:48:45 [WARNING] hp16c: Raised E101: Stack Underflow - Operation requires more values in the stack.
2025-03-09 23:54:59 [DEBUG] hp16c: Pushed 44, stack=[44, 0.0, 0.0, 0.0]
2025-03-09 23:55:03 [DEBUG] hp16c: Popped 44, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-09 23:55:03 [DEBUG] hp16c: Pushed 88, stack=[88, 0.0, 0.0, 0.0]
2025-03-09 23:58:55 [DEBUG] hp16c: Pushed 44, stack=[44, 0.0, 0.0, 0.0]
2025-03-09 23:58:58 [DEBUG] hp16c: Popped 44, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-09 23:58:58 [DEBUG] hp16c: Pushed 88, stack=[88, 0.0, 0.0, 0.0]
2025-03-10 00:02:33 [DEBUG] hp16c: Pushed 44, stack=[44, 0.0, 0.0, 0.0]
2025-03-10 00:02:36 [DEBUG] hp16c: Popped 44, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:02:36 [DEBUG] hp16c: Pushed 88, stack=[88, 0.0, 0.0, 0.0]
2025-03-10 00:03:21 [DEBUG] hp16c: Pushed 44, stack=[44, 0.0, 0.0, 0.0]
2025-03-10 00:03:47 [DEBUG] hp16c: Popped 44, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:03:47 [DEBUG] hp16c: Pushed 88, stack=[88, 0.0, 0.0, 0.0]
2025-03-10 00:04:33 [DEBUG] hp16c: Pushed 44, stack=[44, 0.0, 0.0, 0.0]
2025-03-10 00:04:35 [DEBUG] hp16c: Popped 44, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:04:35 [DEBUG] hp16c: Pushed 88, stack=[88, 0.0, 0.0, 0.0]
2025-03-10 00:07:18 [DEBUG] hp16c: Pushed 44, stack=[44, 0.0, 0.0, 0.0]
2025-03-10 00:07:22 [DEBUG] hp16c: Popped 44, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:07:22 [DEBUG] hp16c: Pushed 88, stack=[88, 0.0, 0.0, 0.0]
2025-03-10 00:07:54 [DEBUG] hp16c: Pushed 492, stack=[492, 0.0, 0.0, 0.0]
2025-03-10 00:07:57 [DEBUG] hp16c: Popped 492, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:07:57 [DEBUG] hp16c: Pushed 984, stack=[984, 0.0, 0.0, 0.0]
2025-03-10 00:08:18 [DEBUG] hp16c: Pushed -10036, stack=[-10036, 984, 0.0, 0.0]
2025-03-10 00:08:22 [DEBUG] hp16c: Popped -10036, stack=[984, 0.0, 0.0, 0.0]
2025-03-10 00:08:22 [DEBUG] hp16c: Pushed -20072, stack=[-20072, 984, 0.0, 0.0]
2025-03-10 00:15:09 [DEBUG] hp16c: Word size set to 16
2025-03-10 00:15:15 [DEBUG] hp16c: Word size set to 32
2025-03-10 00:26:38 [DEBUG] hp16c: Word size set to 16
2025-03-10 00:27:06 [DEBUG] hp16c: Pushed 200, stack=[200, 0.0, 0.0, 0.0]
2025-03-10 00:27:14 [DEBUG] hp16c: Popped 200, stack=[0.0, 0.0, 0.0, 0.0]
2025-03-10 00:27:14 [DEBUG] hp16c: Pushed 400, stack=[400, 0.0, 0.0, 0.0]
2025-03-10 00:27:18 [DEBUG] hp16c: Pushed 400, stack=[400, 400, 0.0, 0.0]
2025-03-10 00:27:30 [DEBUG] hp16c: Popped 400, stack=[400, 0.0, 0.0, 0.0]
2025-03-10 00:27:30 [DEBUG] hp16c: Pushed 800, stack=[800, 400, 0.0, 0.0]
2025-03-10 00:27:56 [DEBUG] hp16c: Popped 800, stack=[400, 0.0, 0.0, 0.0]
2025-03-10 00:27:56 [DEBUG] hp16c: Pushed 1600, stack=[1600, 400, 0.0, 0.0]
2025-03-10 00:27:57 [DEBUG] hp16c: Popped 1600, stack=[400, 0.0, 0.0, 0.0]
2025-03-10 00:27:57 [DEBUG] hp16c: Pushed 3200, stack=[3200, 400, 0.0, 0.0]
2025-03-10 00:27:59 [DEBUG] hp16c: Popped 3200, stack=[400, 0.0, 0.0, 0.0]
2025-03-10 00:27:59 [DEBUG] hp16c: Pushed 6400, stack=[6400, 400, 0.0, 0.0]
2025-03-10 00:28:00 [DEBUG] hp16c: Popped 6400, stack=[400, 0.0, 0.0, 0.0]
2025-03-10 00:28:00 [DEBUG] hp16c: Pushed 12800, stack=[12800, 400, 0.0, 0.0]
2025-03-10 00:28:03 [DEBUG] hp16c: Popped 12800, stack=[400, 0.0, 0.0, 0.0]
2025-03-10 00:28:03 [DEBUG] hp16c: Pushed 25600, stack=[25600, 400, 0.0, 0.0]
2025-03-10 00:28:06 [DEBUG] hp16c: Popped 25600, stack=[400, 0.0, 0.0, 0.0]
