[PUSH] Stack state: [12920, 0.0, 0.0, 0.0]
[PUSH] Stack state: [7, 12920, 0.0, 0.0]
[POP] Stack state: [12920, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [1845.7142857142858, 0.0, 0.0, 0.0]
[PUSH] Stack state: [-8655, 0.0, 0.0, 0.0]
[PUSH] Stack state: [77, -8655, 0.0, 0.0]
[POP] Stack state: [-8655, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [-112.40259740259741, 0.0, 0.0, 0.0]
[PUSH] Stack state: [1111, 0.0, 0.0, 0.0]
[PUSH] Stack state: [1111, 0.0, 0.0, 0.0]
[PUSH] Stack state: [111, 0.0, 0.0, 0.0]
[PUSH] Stack state: [111, 0.0, 0.0, 0.0]
[PUSH] Stack state: [1111, 0.0, 0.0, 0.0]
[PUSH] Stack state: [1112, 0.0, 0.0, 0.0]
[PUSH] Stack state: [4, 1112, 0.0, 0.0]
[POP] Stack state: [1112, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [278, 0.0, 0.0, 0.0]
[PUSH] Stack state: [-19961, 0.0, 0.0, 0.0]
[PUSH] Stack state: [111, 0.0, 0.0, 0.0]
[PUSH] Stack state: [11, 111, 0.0, 0.0]
[POP] Stack state: [111, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [10.090909090909092, 0.0, 0.0, 0.0]
[PUSH] Stack state: [10.090909090909092, 10.090909090909092, 0.0, 0.0]
[PUSH] Stack state: [11111, 0.0, 0.0, 0.0]
[PUSH] Stack state: [11, 11111, 0.0, 0.0]
[POP] Stack state: [11111, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [1010.0909090909091, 0.0, 0.0, 0.0]
[PUSH] Stack state: [11111, 0.0, 0.0, 0.0]
[PUSH] Stack state: [11, 11111, 0.0, 0.0]
[POP] Stack state: [11111, 0.0, 0.0, 0.0]
[POP] Stack state: [0.0, 0.0, 0.0, 0.0]
[PUSH] Stack state: [1010.0909090909091, 0.0, 0.0, 0.0]
[PUSH] Stack state: [777, 0.0, 0.0, 0.0]
[PUSH] Stack state: [7, 777, 0.0, 0.0]
[POP] Stack state: [777, 0.0, 0.0, 0.0]
